,path,emotion
0,data/train-custom\hamed1_happy.wav,happy
1,data/train-custom\hamed2_happy.wav,happy
2,data/train-custom\hamed3_happy.wav,happy
3,data/train-custom\hamed4_happy.wav,happy
4,data/train-custom\hamed5_happy.wav,happy
5,data/train-custom\hamed6_happy.wav,happy
6,data/train-custom\hamed7_happy.wav,happy
7,data/train-custom\hamed8_happy.wav,happy
8,data/train-custom\hamed9_happy.wav,happy
9,data/train-custom\hamedA_happy.wav,happy
10,data/train-custom\hamedB_happy.wav,happy
11,data/train-custom\hamedC_happy.wav,happy
12,data/train-custom\nadjib1_happy.wav,happy
13,data/train-custom\nadjib2_happy.wav,happy
14,data/train-custom\nadjib3_happy.wav,happy
15,data/train-custom\nadjib4_happy.wav,happy
16,data/train-custom\nadjib5_happy.wav,happy
17,data/train-custom\nadjib6_happy.wav,happy
18,data/train-custom\nadjib7_happy.wav,happy
19,data/train-custom\nadjib8_happy.wav,happy
20,data/train-custom\nadjib9_happy.wav,happy
21,data/train-custom\nadjibA_happy.wav,happy
22,data/train-custom\nadjibB_happy.wav,happy
23,data/train-custom\nadjibC_happy.wav,happy
24,data/train-custom\oumaima1_happy.wav,happy
25,data/train-custom\oumaima2_happy.wav,happy
26,data/train-custom\oumaima3_happy.wav,happy
27,data/train-custom\oumaima4_happy.wav,happy
28,data/train-custom\oumaima5_happy.wav,happy
29,data/train-custom\oumaima6_happy.wav,happy
30,data/train-custom\oumaima7_happy.wav,happy
31,data/train-custom\oumaima8_happy.wav,happy
32,data/train-custom\oumaima9_happy.wav,happy
33,data/train-custom\oumaimaA_happy.wav,happy
34,data/train-custom\oumaimaB_happy.wav,happy
35,data/train-custom\oumaimaC_happy.wav,happy
36,data/train-custom\rockikz1_happy.wav,happy
37,data/train-custom\rockikz2_happy.wav,happy
38,data/train-custom\rockikz3_happy.wav,happy
39,data/train-custom\rockikz4_happy.wav,happy
40,data/train-custom\rockikz5_happy.wav,happy
41,data/train-custom\rockikz6_happy.wav,happy
42,data/train-custom\rockikz7_happy.wav,happy
43,data/train-custom\rockikz8_happy.wav,happy
44,data/train-custom\rockikz9_happy.wav,happy
45,data/train-custom\rockikzA_happy.wav,happy
46,data/train-custom\rockikzB_happy.wav,happy
47,data/train-custom\rockikzC_happy.wav,happy
48,data/train-custom\soumaya1_happy.wav,happy
49,data/train-custom\hamed1_neutral.wav,neutral
50,data/train-custom\hamed2_neutral.wav,neutral
51,data/train-custom\hamed3_neutral.wav,neutral
52,data/train-custom\hamed4_neutral.wav,neutral
53,data/train-custom\hamed5_neutral.wav,neutral
54,data/train-custom\hamed6_neutral.wav,neutral
55,data/train-custom\hamed7_neutral.wav,neutral
56,data/train-custom\hamed8_neutral.wav,neutral
57,data/train-custom\hamed9_neutral.wav,neutral
58,data/train-custom\hamedA_neutral.wav,neutral
59,data/train-custom\hamedB_neutral.wav,neutral
60,data/train-custom\hamedC_neutral.wav,neutral
61,data/train-custom\nadjib1_neutral.wav,neutral
62,data/train-custom\nadjib2_neutral.wav,neutral
63,data/train-custom\nadjib3_neutral.wav,neutral
64,data/train-custom\nadjib4_neutral.wav,neutral
65,data/train-custom\nadjib5_neutral.wav,neutral
66,data/train-custom\nadjib6_neutral.wav,neutral
67,data/train-custom\nadjib7_neutral.wav,neutral
68,data/train-custom\nadjib8_neutral.wav,neutral
69,data/train-custom\nadjib9_neutral.wav,neutral
70,data/train-custom\nadjibA_neutral.wav,neutral
71,data/train-custom\nadjibB_neutral.wav,neutral
72,data/train-custom\nadjibC_neutral.wav,neutral
73,data/train-custom\oumaima1_neutral.wav,neutral
74,data/train-custom\oumaima2_neutral.wav,neutral
75,data/train-custom\oumaima3_neutral.wav,neutral
76,data/train-custom\oumaima4_neutral.wav,neutral
77,data/train-custom\oumaima5_neutral.wav,neutral
78,data/train-custom\oumaima6_neutral.wav,neutral
79,data/train-custom\oumaima7_neutral.wav,neutral
80,data/train-custom\oumaima8_neutral.wav,neutral
81,data/train-custom\oumaima9_neutral.wav,neutral
82,data/train-custom\oumaimaA_neutral.wav,neutral
83,data/train-custom\oumaimaB_neutral.wav,neutral
84,data/train-custom\oumaimaC_neutral.wav,neutral
85,data/train-custom\rockikz1_neutral.wav,neutral
86,data/train-custom\rockikz2_neutral.wav,neutral
87,data/train-custom\rockikz3_neutral.wav,neutral
88,data/train-custom\rockikz4_neutral.wav,neutral
89,data/train-custom\rockikz5_neutral.wav,neutral
90,data/train-custom\rockikz6_neutral.wav,neutral
91,data/train-custom\rockikz7_neutral.wav,neutral
92,data/train-custom\rockikz8_neutral.wav,neutral
93,data/train-custom\rockikz9_neutral.wav,neutral
94,data/train-custom\rockikzA_neutral.wav,neutral
95,data/train-custom\rockikzB_neutral.wav,neutral
96,data/train-custom\rockikzC_neutral.wav,neutral
97,data/train-custom\soumaya1_neutral.wav,neutral
98,data/train-custom\soumaya2_neutral.wav,neutral
