,path,emotion
0,data/emodb/wav\03a01Fa.wav,happy
1,data/emodb/wav\03a01Nc.wav,neutral
2,data/emodb/wav\03a01Wa.wav,angry
3,data/emodb/wav\03a02Fc.wav,happy
4,data/emodb/wav\03a02Nc.wav,neutral
5,data/emodb/wav\03a02Ta.wav,sad
6,data/emodb/wav\03a02Wb.wav,angry
7,data/emodb/wav\03a02Wc.wav,angry
8,data/emodb/wav\03a04Fd.wav,happy
9,data/emodb/wav\03a04Nc.wav,neutral
10,data/emodb/wav\03a04Ta.wav,sad
11,data/emodb/wav\03a04Wc.wav,angry
12,data/emodb/wav\03a05Fc.wav,happy
13,data/emodb/wav\03a05Nd.wav,neutral
14,data/emodb/wav\03a05Tc.wav,sad
15,data/emodb/wav\03a05Wa.wav,angry
16,data/emodb/wav\03a05Wb.wav,angry
17,data/emodb/wav\03a07Fa.wav,happy
18,data/emodb/wav\03a07Fb.wav,happy
19,data/emodb/wav\03a07Nc.wav,neutral
20,data/emodb/wav\03a07Wc.wav,angry
21,data/emodb/wav\03b01Fa.wav,happy
22,data/emodb/wav\03b01Nb.wav,neutral
23,data/emodb/wav\03b01Td.wav,sad
24,data/emodb/wav\03b01Wa.wav,angry
25,data/emodb/wav\03b01Wc.wav,angry
26,data/emodb/wav\03b02Na.wav,neutral
27,data/emodb/wav\03b02Tb.wav,sad
28,data/emodb/wav\03b02Wb.wav,angry
29,data/emodb/wav\03b03Nb.wav,neutral
30,data/emodb/wav\03b03Tc.wav,sad
31,data/emodb/wav\03b03Wc.wav,angry
32,data/emodb/wav\03b09Nc.wav,neutral
33,data/emodb/wav\03b09Tc.wav,sad
34,data/emodb/wav\03b09Wa.wav,angry
35,data/emodb/wav\03b10Na.wav,neutral
36,data/emodb/wav\03b10Nc.wav,neutral
37,data/emodb/wav\03b10Wb.wav,angry
38,data/emodb/wav\03b10Wc.wav,angry
39,data/emodb/wav\08a01Fd.wav,happy
40,data/emodb/wav\08a01Na.wav,neutral
41,data/emodb/wav\08a01Wa.wav,angry
42,data/emodb/wav\08a01Wc.wav,angry
43,data/emodb/wav\08a02Fe.wav,happy
44,data/emodb/wav\08a02Na.wav,neutral
45,data/emodb/wav\08a02Tb.wav,sad
46,data/emodb/wav\08a02Wc.wav,angry
47,data/emodb/wav\08a04Ff.wav,happy
48,data/emodb/wav\08a04Nc.wav,neutral
49,data/emodb/wav\08a04Tb.wav,sad
50,data/emodb/wav\08a04Wc.wav,angry
51,data/emodb/wav\08a05Fe.wav,happy
52,data/emodb/wav\08a05Nb.wav,neutral
53,data/emodb/wav\08a05Ta.wav,sad
54,data/emodb/wav\08a05Wa.wav,angry
55,data/emodb/wav\08a07Fd.wav,happy
56,data/emodb/wav\08a07Na.wav,neutral
57,data/emodb/wav\08a07Ta.wav,sad
58,data/emodb/wav\08a07Tb.wav,sad
59,data/emodb/wav\08a07Wc.wav,angry
60,data/emodb/wav\08b01Fd.wav,happy
61,data/emodb/wav\08b01Fe.wav,happy
62,data/emodb/wav\08b01Na.wav,neutral
63,data/emodb/wav\08b01Wa.wav,angry
64,data/emodb/wav\08b02Ff.wav,happy
65,data/emodb/wav\08b02Nb.wav,neutral
66,data/emodb/wav\08b02Tc.wav,sad
67,data/emodb/wav\08b02Wd.wav,angry
68,data/emodb/wav\08b03Fe.wav,happy
69,data/emodb/wav\08b03Nb.wav,neutral
70,data/emodb/wav\08b03Tc.wav,sad
71,data/emodb/wav\08b03Wd.wav,angry
72,data/emodb/wav\08b09Fd.wav,happy
73,data/emodb/wav\08b09Nb.wav,neutral
74,data/emodb/wav\08b09Tb.wav,sad
75,data/emodb/wav\08b09Wa.wav,angry
76,data/emodb/wav\08b09Wc.wav,angry
77,data/emodb/wav\08b10Fd.wav,happy
78,data/emodb/wav\08b10Nc.wav,neutral
79,data/emodb/wav\08b10Tc.wav,sad
80,data/emodb/wav\08b10Wa.wav,angry
81,data/emodb/wav\09a01Fa.wav,happy
82,data/emodb/wav\09a01Nb.wav,neutral
83,data/emodb/wav\09a01Wb.wav,angry
84,data/emodb/wav\09a02Wb.wav,angry
85,data/emodb/wav\09a04Fd.wav,happy
86,data/emodb/wav\09a04Nb.wav,neutral
87,data/emodb/wav\09a04Wa.wav,angry
88,data/emodb/wav\09a05Nb.wav,neutral
89,data/emodb/wav\09a05Tb.wav,sad
90,data/emodb/wav\09a05Wb.wav,angry
91,data/emodb/wav\09a05Wc.wav,angry
92,data/emodb/wav\09a07Na.wav,neutral
93,data/emodb/wav\09a07Ta.wav,sad
94,data/emodb/wav\09a07Wb.wav,angry
95,data/emodb/wav\09a07Wd.wav,angry
96,data/emodb/wav\09b01Na.wav,neutral
97,data/emodb/wav\09b01Wb.wav,angry
98,data/emodb/wav\09b02Na.wav,neutral
99,data/emodb/wav\09b02Tb.wav,sad
100,data/emodb/wav\09b02Wc.wav,angry
101,data/emodb/wav\09b02Wd.wav,angry
102,data/emodb/wav\09b03Fa.wav,happy
103,data/emodb/wav\09b03Fd.wav,happy
104,data/emodb/wav\09b03Nb.wav,neutral
105,data/emodb/wav\09b03Ta.wav,sad
106,data/emodb/wav\09b03Wb.wav,angry
107,data/emodb/wav\09b09Nd.wav,neutral
108,data/emodb/wav\09b09Wa.wav,angry
109,data/emodb/wav\09b10Nd.wav,neutral
110,data/emodb/wav\09b10Wa.wav,angry
111,data/emodb/wav\10a01Nb.wav,neutral
112,data/emodb/wav\10a01Wa.wav,angry
113,data/emodb/wav\10a02Fa.wav,happy
114,data/emodb/wav\10a02Na.wav,neutral
115,data/emodb/wav\10a02Wa.wav,angry
116,data/emodb/wav\10a04Fd.wav,happy
117,data/emodb/wav\10a04Nb.wav,neutral
118,data/emodb/wav\10a04Wa.wav,angry
119,data/emodb/wav\10a04Wb.wav,angry
120,data/emodb/wav\10a05Tb.wav,sad
121,data/emodb/wav\10a05Wb.wav,angry
122,data/emodb/wav\10a07Ta.wav,sad
123,data/emodb/wav\10a07Wb.wav,angry
124,data/emodb/wav\10b01Fa.wav,happy
125,data/emodb/wav\10b02Na.wav,neutral
126,data/emodb/wav\10b02Wb.wav,angry
127,data/emodb/wav\10b03Tb.wav,sad
128,data/emodb/wav\10b03Wb.wav,angry
129,data/emodb/wav\10b09Wb.wav,angry
130,data/emodb/wav\10b10Fc.wav,happy
131,data/emodb/wav\10b10Wa.wav,angry
132,data/emodb/wav\11a01Nd.wav,neutral
133,data/emodb/wav\11a01Wc.wav,angry
134,data/emodb/wav\11a02Fb.wav,happy
135,data/emodb/wav\11a02Nc.wav,neutral
136,data/emodb/wav\11a02Tc.wav,sad
137,data/emodb/wav\11a02Wc.wav,angry
138,data/emodb/wav\11a04Fd.wav,happy
139,data/emodb/wav\11a04Nd.wav,neutral
140,data/emodb/wav\11a04Wc.wav,angry
141,data/emodb/wav\11a05Fb.wav,happy
142,data/emodb/wav\11a05Fc.wav,happy
143,data/emodb/wav\11a05Na.wav,neutral
144,data/emodb/wav\11a05Td.wav,sad
145,data/emodb/wav\11a05Wd.wav,angry
146,data/emodb/wav\11a07Ta.wav,sad
147,data/emodb/wav\11a07Wc.wav,angry
148,data/emodb/wav\11b01Fc.wav,happy
149,data/emodb/wav\11b01Nc.wav,neutral
150,data/emodb/wav\11b01Wd.wav,angry
151,data/emodb/wav\11b02Fd.wav,happy
152,data/emodb/wav\11b02Na.wav,neutral
153,data/emodb/wav\11b02Td.wav,sad
154,data/emodb/wav\11b02Wb.wav,angry
155,data/emodb/wav\11b03Fc.wav,happy
156,data/emodb/wav\11b03Nb.wav,neutral
157,data/emodb/wav\11b03Td.wav,sad
158,data/emodb/wav\11b03Wa.wav,angry
159,data/emodb/wav\11b03Wb.wav,angry
160,data/emodb/wav\11b09Fd.wav,happy
161,data/emodb/wav\11b09Na.wav,neutral
162,data/emodb/wav\11b09Td.wav,sad
163,data/emodb/wav\11b09Wa.wav,angry
164,data/emodb/wav\11b10Nc.wav,neutral
165,data/emodb/wav\11b10Td.wav,sad
166,data/emodb/wav\11b10Wa.wav,angry
167,data/emodb/wav\12a01Fb.wav,happy
168,data/emodb/wav\12a01Nb.wav,neutral
169,data/emodb/wav\12a01Wc.wav,angry
170,data/emodb/wav\12a02Nb.wav,neutral
171,data/emodb/wav\12a02Wa.wav,angry
172,data/emodb/wav\12a02Wc.wav,angry
173,data/emodb/wav\12a04Wc.wav,angry
174,data/emodb/wav\12a05Nd.wav,neutral
175,data/emodb/wav\12a05Ta.wav,sad
176,data/emodb/wav\12a05Wb.wav,angry
177,data/emodb/wav\12a07Wa.wav,angry
178,data/emodb/wav\12b01Ta.wav,sad
179,data/emodb/wav\12b01Wa.wav,angry
180,data/emodb/wav\12b02Fb.wav,happy
181,data/emodb/wav\12b02Na.wav,neutral
